"vacc_self","vacc_others01","vacc_others02","vacc_others03","vacc_others04","vacc_others05","masks_self","masks_others_never","masks_others_sometimes","masks_others_half","masks_others_often","masks_others_always","testing_self","testing_others_never","testing_others_sometimes","testing_others_half","testing_others_often","testing_others_always"
5,0,0,0,0,100,5,0,0,0,0,100,5,0,0,0,0,100
NA,22,36,13,11,18,4,7,20,22,48,3,3,16,18,23,32,11
4,20,10,10,30,30,4,0,0,0,100,0,4,19,31,0,50,0
5,30,10,20,30,10,5,30,10,30,10,20,5,20,30,30,10,10
5,0,0,0,0,100,4,0,0,0,25,75,2,0,60,35,5,0
4,92,3,4,1,0,3,28,20,9,19,24,3,18,22,16,19,25
4,26,23,7,23,21,4,0,0,21,58,21,2,0,20,0,80,0
1,100,0,0,0,0,NA,0,0,0,50,50,3,0,0,100,0,0
NA,40,18,17,25,0,4,9,21,40,22,8,2,8,43,37,6,6
3,25,30,15,20,10,4,0,10,30,40,20,3,10,40,20,30,0
5,0,0,0,0,100,4,0,0,0,100,0,3,0,0,43,57,0
4,10,50,20,10,10,3,20,20,30,10,20,4,20,20,20,20,20
5,20,20,20,20,20,5,20,20,20,30,10,5,20,20,20,20,20
5,5,25,0,29,41,3,0,25,47,23,5,2,0,64,31,5,0
1,73,13,11,2,1,1,100,0,0,0,0,1,100,0,0,0,0
1,100,0,0,0,0,4,0,0,100,0,0,1,0,0,100,0,0
3,0,0,100,0,0,4,0,0,0,100,0,1,100,0,0,0,0
5,50,50,0,0,0,4,0,20,20,40,20,2,20,30,30,20,0
2,21,20,32,10,17,5,0,5,7,35,53,5,2,5,6,9,78
NA,98,2,0,0,0,1,100,0,0,0,0,1,100,0,0,0,0
5,0,5,5,15,75,5,0,0,0,10,90,1,90,0,0,0,10
4,25,20,20,20,15,4,0,20,20,40,20,4,0,0,30,50,20
5,0,9,9,27,55,4,0,0,20,70,10,5,0,20,0,0,80
1,100,0,0,0,0,NA,0,50,50,0,0,2,0,25,50,25,0
4,53,35,12,0,0,5,1,15,11,63,10,1,8,27,48,17,0
1,100,0,0,0,0,2,47,48,5,0,0,1,100,0,0,0,0
4,20,10,20,10,40,4,20,20,20,20,20,2,20,20,20,20,20
